day,num_topics,doc_count,num_unassigned,npmi,td
2023-03-19,15.0,394.0,0.0,-0.43469891932577726,0.8
2023-03-20,15.0,834.0,0.0,-0.39742277809017873,0.8066666666666666
2023-03-21,15.0,853.0,0.0,-0.3701820618616642,0.8066666666666666
2023-03-22,15.0,863.0,0.0,-0.3923001729659087,0.8066666666666666
2023-03-23,15.0,840.0,0.0,-0.3715923381830333,0.8066666666666666
2023-03-24,15.0,880.0,0.0,-0.369602146936263,0.8066666666666666
2023-03-25,15.0,547.0,0.0,-0.41579910885030047,0.8066666666666666
2023-03-26,15.0,424.0,0.0,-0.40871637162425645,0.8066666666666666
2023-03-27,15.0,807.0,0.0,-0.37332731742471154,0.8066666666666666
2023-03-28,15.0,816.0,0.0,-0.3670356284517967,0.8
2023-03-29,15.0,805.0,0.0,-0.3472144806864542,0.8
2023-03-30,15.0,820.0,0.0,-0.3973605974397191,0.8
2023-03-31,15.0,807.0,0.0,-0.38539085286855135,0.8
2023-04-01,15.0,491.0,0.0,-0.3993333482018629,0.8
2023-04-02,15.0,391.0,0.0,-0.4118399329575382,0.8
2023-04-03,15.0,778.0,0.0,-0.371675900447845,0.8066666666666666
2023-04-04,15.0,786.0,0.0,-0.35185864295509056,0.8066666666666666
2023-04-05,15.0,745.0,0.0,-0.3998496131492557,0.8066666666666666
2023-04-06,15.0,676.0,0.0,-0.41014649294434175,0.8066666666666666
2023-04-07,15.0,569.0,0.0,-0.42414393974579845,0.8066666666666666
2023-04-08,15.0,435.0,0.0,-0.4144069545388104,0.8066666666666666
2023-04-09,15.0,377.0,0.0,-0.44953076375366424,0.8066666666666666
2023-04-10,15.0,720.0,0.0,-0.38268586591157866,0.8066666666666666
2023-04-11,15.0,741.0,0.0,-0.3840737611518028,0.8066666666666666
2023-04-12,15.0,719.0,0.0,-0.4024417007172611,0.8066666666666666
2023-04-13,15.0,739.0,0.0,-0.38124830772814,0.8066666666666666
2023-04-14,15.0,698.0,0.0,-0.35421376637657537,0.8066666666666666
2023-04-15,15.0,475.0,0.0,-0.40464666535533933,0.8066666666666666
2023-04-16,15.0,373.0,0.0,,0.8066666666666666
2023-04-17,15.0,713.0,0.0,-0.36738465750571725,0.8066666666666666
2023-04-18,15.0,740.0,0.0,-0.39838772098148,0.8
2023-04-19,15.0,763.0,0.0,-0.39157398358648837,0.8
2023-04-20,15.0,760.0,0.0,-0.370633913038158,0.8066666666666666
2023-04-21,15.0,568.0,0.0,-0.39190605111111537,0.8133333333333334
2023-04-22,15.0,436.0,0.0,-0.4398937412752356,0.8133333333333334
2023-04-23,15.0,354.0,0.0,-0.4462506876693885,0.8133333333333334
2023-04-24,15.0,641.0,0.0,-0.41950582616939813,0.8133333333333334
2023-04-25,15.0,678.0,0.0,-0.36782090524749494,0.8133333333333334
2023-04-26,15.0,542.0,0.0,-0.3763006670627161,0.8133333333333334
2023-04-27,15.0,508.0,0.0,-0.40707787064833556,0.8133333333333334
2023-04-28,15.0,551.0,0.0,-0.3807068329328191,0.8133333333333334
2023-04-29,15.0,360.0,0.0,-0.3989323087406626,0.8133333333333334
2023-04-30,15.0,276.0,0.0,-0.41199507605947716,0.8133333333333334
