timestamp,num_topics,doc_count,num_unassigned,npmi,cv,td
2023-01-01,9,352,0,-0.19975969384900835,0.3123728218489801,0.9444444444444444
2023-01-02,20,632,55,-0.16412487734978862,0.4334916617910979,0.985
2023-01-03,33,772,74,-0.32654102129390683,0.38544013095764196,0.9878787878787879
2023-01-04,27,783,65,-0.24486670219157636,0.3901159206693355,0.9851851851851852
2023-01-05,25,814,61,-0.24637013678227693,0.40815452714067585,0.984
2023-01-06,18,767,47,-0.23159391408174143,0.40842313980779005,0.9722222222222222
2023-01-07,13,467,31,-0.25446302195968296,0.40162263192571707,0.9846153846153847
2023-01-08,4,437,0,-0.3115561772372054,0.3974033352339412,0.975
2023-01-09,15,825,15,-0.2795188662407974,0.384867250215274,0.9333333333333333
2023-01-10,24,786,62,-0.2599526114028419,0.3517057320994434,0.9833333333333333
2023-01-11,22,792,53,-0.2772941624003538,0.39090225573164133,0.9954545454545455
2023-01-12,28,805,21,-0.29824797502145106,0.3856431294255142,0.9821428571428571
2023-01-13,16,785,33,-0.24829398806239622,0.37296797521392916,0.96875
2023-01-14,16,445,58,-0.30680232903232174,0.3877487419378168,0.975
2023-01-15,11,344,11,-0.2236306261347213,0.4346335292350086,0.990909090909091
2023-01-16,22,774,74,-0.24059799273589924,0.3926905619209035,0.990909090909091
2023-01-17,32,790,57,-0.3283358119003295,0.4164217101610355,0.99375
2023-01-18,24,749,44,-0.3189229677746386,0.3946046615116749,0.9958333333333333
2023-01-19,26,777,79,-0.3188609194181209,0.3870721403601499,0.9769230769230769
2023-01-20,19,700,43,-0.3092924395007587,0.3907021146225781,0.9894736842105263
2023-01-21,21,432,71,-0.30730691270857163,0.3962340299137607,0.9952380952380953
2023-01-22,5,315,6,-0.35667590528097665,0.39390674142055027,1.0
2023-01-23,22,747,24,-0.297479288040222,0.4044005088544168,0.9818181818181818
2023-01-24,22,745,88,-0.2821990881872912,0.3705279097180531,0.9818181818181818
2023-01-25,26,736,60,-0.328037617379037,0.4158816366662785,0.9884615384615385
2023-01-26,32,752,115,-0.29969142554413486,0.4056109653183439,0.996875
2023-01-27,25,720,83,-0.3290373503340842,0.4236161508872034,0.976
2023-01-28,16,467,27,-0.2620763979238003,0.35751037156624577,0.99375
2023-01-29,15,376,44,-0.32237403953906496,0.38337880882705505,0.98
2023-01-30,23,736,67,-0.294897414747407,0.38429154095733414,0.9869565217391304
2023-01-31,26,821,64,-0.29090796925077245,0.3889139233562871,0.9807692307692307
2023-02-01,30,900,59,-0.20874940957367863,0.41844074657315233,0.9733333333333334
